"","Nombre","Nacionalidad","Peso","Altura","Edad","Minutos jugados","Partidos jugados","Partidos como titular","Goles","Autogoles","Tarjetas amarillas","Tarjetas rojas"
"185","José Iván Rodríguez Rebollar","Mexicano","60.9 kg","1.71","24 Años, 11 Mes(es), 2 Día(s)","480","9","5",NA,"0","1","0"
"186","Luis Arturo Montes Jiménez","Mexicano","67.9 kg","1.66","35 Años, 4 Día(s)","1026","13","11","1","0","3",NA
"187","Yairo Yesid Moreno Berrio","Colombiano","70 kg","1.77","26 Años, 1 Mes(es), 15 Día(s)","663","11","7",NA,"0","1","0"
"188","Ángel Israel Mena Delgado","Ecuatoriano","71 kg","1.68","33 Años, 3 Mes(es), 29 Día(s)","1032","15","10","8","0","2","0"
"189","Jean David Meneses Villarroel","Chileno","65.1 kg","1.63","28 Años, 2 Mes(es), 3 Día(s)","1341","17","14","2","0","1","0"
"190","Santiago Colombatto ","Argentino","71 kg","1.79","24 Años, 4 Mes(es), 2 Día(s)","679","9","8","1","0","6","0"
"191","Fernando Rubén González Pineda","Mexicano","73 kg","1.81","27 Años, 3 Mes(es), 23 Día(s)","545","12","7",NA,"0",NA,"0"
"192","José David Ramírez García","Mexicano","72 kg","1.78","25 Años, 5 Mes(es), 5 Día(s)","1230","17","14",NA,"0","1","0"
"193","Jesse Zamudio García","Mexicano","72 kg","1.78","22 Años, 2 Mes(es), 11 Día(s)",NA,NA,NA,NA,"0",NA,"0"
"194","Víctor Alejandro Dávila Zavala","Chileno","72 kg","1.73","23 Años, 6 Mes(es), 15 Día(s)","973","15","12","6","0","1","0"
"195","Joel Nathaniel Campbell Samuels","Costarricense","72 kg","1.78","28 Años, 10 Mes(es), 23 Día(s)","878","15","9","1","0","4","0"
"196","José de Jesús Godínez Navarro","Mexicano","79 kg","1.83","24 Años, 3 Mes(es), 30 Día(s)","168","8","2",NA,"0",NA,"0"
"197","Nicolás Sosa Sánchez","Uruguayo","66.03 kg","1.77","25 Años, 1 Mes(es), 13 Día(s)","76","4","1",NA,"0",NA,"0"
"198","Emmanuel Gigliotti ","Argentino","83 kg","1.83","33 Años, 11 Mes(es), 30 Día(s)","545","11","6","2","0","1","0"
"199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
